Node List,Source
ERBB2,Oncogene_CancerMine
MYC,Oncogene_CancerMine
EGFR,Oncogene_CancerMine
CCND1,Oncogene_CancerMine
SRC,Oncogene_CancerMine
KRAS,Oncogene_CancerMine
PTGDR,Oncogene_CancerMine
TP53,Oncogene_CancerMine
PIK3CA,Oncogene_CancerMine
NCOA3,Oncogene_CancerMine
AKT1,Oncogene_CancerMine
YAP1,Oncogene_CancerMine
STAT3,Oncogene_CancerMine
KLF4,Oncogene_CancerMine
WNT1,Oncogene_CancerMine
ERBB3,Oncogene_CancerMine
ABL1,Oncogene_CancerMine
EZH2,Oncogene_CancerMine
BRAF,Oncogene_CancerMine
NRAS,Oncogene_CancerMine
MET,Oncogene_CancerMine
JUN,Oncogene_CancerMine
ZNF703,Oncogene_CancerMine
PTEN,Oncogene_CancerMine
MYB,Oncogene_CancerMine
FOS,Oncogene_CancerMine
VEGFA,Oncogene_CancerMine
RET,Oncogene_CancerMine
BCL2,Oncogene_CancerMine
KIT,Oncogene_CancerMine
FOXM1,Oncogene_CancerMine
TAFAZZIN,Oncogene_CancerMine
AURKA,Oncogene_CancerMine
MTDH,Oncogene_CancerMine
SKP2,Oncogene_CancerMine
ZNF217,Oncogene_CancerMine
CD274,Oncogene_CancerMine
IKBKE,Oncogene_CancerMine
PTPN11,Oncogene_CancerMine
PTGS2,Oncogene_CancerMine
NFKB1,Oncogene_CancerMine
ESR1,Oncogene_CancerMine
PELP1,Oncogene_CancerMine
KDM5B,Oncogene_CancerMine
NOTCH1,Oncogene_CancerMine
FASN,Oncogene_CancerMine
ETS1,Oncogene_CancerMine
EGF,Oncogene_CancerMine
CDKN2A,Oncogene_CancerMine
YBX1,Oncogene_CancerMine
ABCB1,Oncogene_CancerMine
MTOR,Oncogene_CancerMine
PI3,Oncogene_CancerMine
PHGDH,Oncogene_CancerMine
MUC1,Oncogene_CancerMine
HRAS,Oncogene_CancerMine
CDKN1A,Oncogene_CancerMine
SOX2,Oncogene_CancerMine
MDM2,Oncogene_CancerMine
ALKBH5,Oncogene_CancerMine
RUNX1,Oncogene_CancerMine
PIN1,Oncogene_CancerMine
PGR,Oncogene_CancerMine
PAK1,Oncogene_CancerMine
NTRK3,Oncogene_CancerMine
FTO,Oncogene_CancerMine
VIRMA,Oncogene_CancerMine
WT1,Oncogene_CancerMine
PTPN1,Oncogene_CancerMine
PPM1D,Oncogene_CancerMine
CDK16,Oncogene_CancerMine
FOXP3,Oncogene_CancerMine
DDX3X,Oncogene_CancerMine
METTL3,Oncogene_CancerMine
CDH1,Oncogene_CancerMine
GOLPH3,Oncogene_CancerMine
YY1,Oncogene_CancerMine
BRCA1,Oncogene_CancerMine
ATF3,Oncogene_CancerMine
MYCN,Oncogene_CancerMine
MYBL2,Oncogene_CancerMine
APC,Oncogene_CancerMine
HOXA1,Oncogene_CancerMine
FOXA1,Oncogene_CancerMine
GLI1,Oncogene_CancerMine
GATA3,Oncogene_CancerMine
E2F1,Oncogene_CancerMine
DEK,Oncogene_CancerMine
CTNNB1,Oncogene_CancerMine
CSF1R,Oncogene_CancerMine
CLK2,Oncogene_CancerMine
CDKN1B,Oncogene_CancerMine
CDK8,Oncogene_CancerMine
KIF4A,Oncogene_CancerMine
SQLE,Oncogene_CancerMine
BMI1,Oncogene_CancerMine
PTTG1,Oncogene_CancerMine
NOTCH4,Oncogene_CancerMine
NFIB,Oncogene_CancerMine
TRIM37,Oncogene_CancerMine
MAPK1,Oncogene_CancerMine
LMO4,Oncogene_CancerMine
LEPR,Oncogene_CancerMine
KLF5,Oncogene_CancerMine
FGFR2,Oncogene_CancerMine
ESR2,Oncogene_CancerMine
ZBTB7A,Oncogene_CancerMine
BCL11A,Oncogene_CancerMine
WWOX,Oncogene_CancerMine
CCN4,Oncogene_CancerMine
VHL,Oncogene_CancerMine
ZEB1,Oncogene_CancerMine
SETDB1,Oncogene_CancerMine
RUNX2,Oncogene_CancerMine
RAB1A,Oncogene_CancerMine
PTK6,Oncogene_CancerMine
PLK1,Oncogene_CancerMine
MYCL,Oncogene_CancerMine
MECP2,Oncogene_CancerMine
MAF,Oncogene_CancerMine
LOX,Oncogene_CancerMine
KIF11,Oncogene_CancerMine
ID4,Oncogene_CancerMine
FGFR1,Oncogene_CancerMine
FGF3,Oncogene_CancerMine
AHR,Oncogene_CancerMine
CSF3,Oncogene_CancerMine
CARM1,Oncogene_CancerMine
COPS5,Oncogene_CancerMine
FOXQ1,Oncogene_CancerMine
KIF14,Oncogene_CancerMine
RAB25,Oncogene_CancerMine
LAMTOR5,Oncogene_CancerMine
CDH3,Oncogene_CancerMine
CDH2,Oncogene_CancerMine
CDC20,Oncogene_CancerMine
ZEB2,Oncogene_CancerMine
DCD,Oncogene_CancerMine
CTCF,Oncogene_CancerMine
KDM2A,Oncogene_CancerMine
HDAC8,Oncogene_CancerMine
WBP2,Oncogene_CancerMine
UCHL1,Oncogene_CancerMine
TWIST1,Oncogene_CancerMine
TERT,Oncogene_CancerMine
SYK,Oncogene_CancerMine
SGK3,Oncogene_CancerMine
SRSF1,Oncogene_CancerMine
BCL6,Oncogene_CancerMine
ESPL1,Oncogene_CancerMine
ARTN,Oncogene_CancerMine
PLP2,Oncogene_CancerMine
AXL,Oncogene_CancerMine
PAPPA,Oncogene_CancerMine
NTN1,Oncogene_CancerMine
ATF2,Oncogene_CancerMine
MST1R,Oncogene_CancerMine
SEPTIN9,Oncogene_CancerMine
MMP9,Oncogene_CancerMine
MAPK14,Oncogene_CancerMine
MAP3K8,Oncogene_CancerMine
LIFR,Oncogene_CancerMine
INPP4B,Oncogene_CancerMine
ANXA1,Oncogene_CancerMine
HSP90AA1,Oncogene_CancerMine
HGF,Oncogene_CancerMine
GRB7,Oncogene_CancerMine
ALK,Oncogene_CancerMine
FOXO1,Oncogene_CancerMine
FOXF2,Oncogene_CancerMine
FOXC1,Oncogene_CancerMine
ERBB4,Oncogene_CancerMine
EN2,Oncogene_CancerMine
EIF4E,Oncogene_CancerMine
EIF3A,Oncogene_CancerMine
PREX1,Oncogene_CancerMine
EFNA1,Oncogene_CancerMine
DUSP6,Oncogene_CancerMine
ATAD2,Oncogene_CancerMine
NKAP,Oncogene_CancerMine
FAM83A,Oncogene_CancerMine
NANOG,Oncogene_CancerMine
SOCS1,Oncogene_CancerMine
TBC1D3,Oncogene_CancerMine
EMSY,Oncogene_CancerMine
AMOTL1,Oncogene_CancerMine
AMOT,Oncogene_CancerMine
SPDEF,Oncogene_CancerMine
CDK1,Oncogene_CancerMine
WWP1,Oncogene_CancerMine
CCNB2,Oncogene_CancerMine
SIRT1,Oncogene_CancerMine
FOSL1,Oncogene_CancerMine
KAT6A,Oncogene_CancerMine
WNT5A,Oncogene_CancerMine
KDM6A,Oncogene_CancerMine
TRPS1,Oncogene_CancerMine
TPD52,Oncogene_CancerMine
TFCP2,Oncogene_CancerMine
TFAP2C,Oncogene_CancerMine
SOX4,Oncogene_CancerMine
ROR2,Oncogene_CancerMine
JAZF1,Oncogene_CancerMine
TFF3,Oncogene_CancerMine
TRIM27,Oncogene_CancerMine
RELA,Oncogene_CancerMine
BCL2L1,Oncogene_CancerMine
RAF1,Oncogene_CancerMine
RAC3,Oncogene_CancerMine
RAC1,Oncogene_CancerMine
PTBP1,Oncogene_CancerMine
LGMN,Oncogene_CancerMine
PRLR,Oncogene_CancerMine
PRL,Oncogene_CancerMine
PPARG,Oncogene_CancerMine
PDK1,Oncogene_CancerMine
PAWR,Oncogene_CancerMine
OGT,Oncogene_CancerMine
NOTCH3,Oncogene_CancerMine
NEK2,Oncogene_CancerMine
NEDD4,Oncogene_CancerMine
MMP2,Oncogene_CancerMine
MKI67,Oncogene_CancerMine
MAPK8,Oncogene_CancerMine
LEP,Oncogene_CancerMine
LCN2,Oncogene_CancerMine
KPNA2,Oncogene_CancerMine
KLF8,Oncogene_CancerMine
JAK2,Oncogene_CancerMine
IGF2,Oncogene_CancerMine
IGF1R,Oncogene_CancerMine
HMGA1,Oncogene_CancerMine
HMGA2,Oncogene_CancerMine
G6PD,Oncogene_CancerMine
AKT3,Oncogene_CancerMine
AKT2,Oncogene_CancerMine
FOXO3,Oncogene_CancerMine
FOXC2,Oncogene_CancerMine
FHL2,Oncogene_CancerMine
FGF8,Oncogene_CancerMine
FGF10,Oncogene_CancerMine
ACSL1,Oncogene_CancerMine
ETV4,Oncogene_CancerMine
ETV1,Oncogene_CancerMine
CTTN,Oncogene_CancerMine
ELAVL1,Oncogene_CancerMine
EIF4EBP1,Oncogene_CancerMine
AGR2,Oncogene_CancerMine
EEF1A2,Oncogene_CancerMine
E2F5,Oncogene_CancerMine
SETD7,Oncogene_CancerMine
RAB11FIP1,Oncogene_CancerMine
METTL14,Oncogene_CancerMine
CIP2A,Oncogene_CancerMine
DLX4,Oncogene_CancerMine
GSE1,Oncogene_CancerMine
MIEN1,Oncogene_CancerMine
DDX5,Oncogene_CancerMine
DDB2,Oncogene_CancerMine
CYP24A1,Oncogene_CancerMine
KDM8,Oncogene_CancerMine
CUL4A,Oncogene_CancerMine
DOT1L,Oncogene_CancerMine
CRP,Oncogene_CancerMine
FSIP1,Oncogene_CancerMine
LSM1,Oncogene_CancerMine
FAM3C,Oncogene_CancerMine
PADI2,Oncogene_CancerMine
HES6,Oncogene_CancerMine
THEM4,Oncogene_CancerMine
PRSS50,Oncogene_CancerMine
CDKN3,Oncogene_CancerMine
BRF2,Oncogene_CancerMine
KDM4C,Oncogene_CancerMine
MELK,Oncogene_CancerMine
ADHFE1,Oncogene_CancerMine
TRIM11,Oncogene_CancerMine
ANGPTL4,Oncogene_CancerMine
UBE2C,Oncogene_CancerMine
CCNE1,Oncogene_CancerMine
CBX4,Oncogene_CancerMine
CBLB,Oncogene_CancerMine
CBL,Oncogene_CancerMine
CASR,Oncogene_CancerMine
F11R,Oncogene_CancerMine
EHMT2,Oncogene_CancerMine
HDAC9,Oncogene_CancerMine
MAL2,Oncogene_CancerMine
KDM2B,Oncogene_CancerMine
TRIM25,Oncogene_CancerMine
NSD3,Oncogene_CancerMine
VDR,Oncogene_CancerMine
VAV3,Oncogene_CancerMine
VASP,Oncogene_CancerMine
GFUS,Oncogene_CancerMine
TRAF2,Oncogene_CancerMine
TNFAIP3,Oncogene_CancerMine
TIMP1,Oncogene_CancerMine
TRIM24,Oncogene_CancerMine
TFF1,Oncogene_CancerMine
TEAD4,Oncogene_CancerMine
TBX3,Oncogene_CancerMine
TBX2,Oncogene_CancerMine
TACC2,Oncogene_CancerMine
ACLY,Oncogene_CancerMine
SPHK1,Oncogene_CancerMine
SNAI1,Oncogene_CancerMine
KDM5C,Oncogene_CancerMine
SNAI2,Oncogene_CancerMine
SLC2A1,Oncogene_CancerMine
RRM2,Oncogene_CancerMine
RPS6KB1,Oncogene_CancerMine
RP1,Oncogene_CancerMine
RECQL4,Oncogene_CancerMine
ETV6,Oncogene_CancerMine
CISH,Oncogene_CancerMine
ELF3,Oncogene_CancerMine
REL,Oncogene_CancerMine
RBM3,Oncogene_CancerMine
RASAL2,Oncogene_CancerMine
RAD9A,Oncogene_CancerMine
RAD51C,Oncogene_CancerMine
RAD51,Oncogene_CancerMine
RAB9A,Oncogene_CancerMine
RAB27B,Oncogene_CancerMine
RAB2A,Oncogene_CancerMine
PTPN12,Oncogene_CancerMine
PTK2B,Oncogene_CancerMine
PTK2,Oncogene_CancerMine
BAX,Oncogene_CancerMine
PSMD12,Oncogene_CancerMine
PRKD3,Oncogene_CancerMine
ZMYND8,Oncogene_CancerMine
PRC1,Oncogene_CancerMine
MED1,Oncogene_CancerMine
PLAU,Oncogene_CancerMine
PKM,Oncogene_CancerMine
PIWIL1,Oncogene_CancerMine
ACADM,Oncogene_CancerMine
PFKFB4,Oncogene_CancerMine
PDZK1,Oncogene_CancerMine
PCNA,Oncogene_CancerMine
HMGN5,Oncogene_CancerMine
NMU,Oncogene_CancerMine
NFE2L2,Oncogene_CancerMine
ABL2,Oncogene_CancerMine
NDRG1,Oncogene_CancerMine
NCL,Oncogene_CancerMine
MT2A,Oncogene_CancerMine
MOS,Oncogene_CancerMine
MGMT,Oncogene_CancerMine
MERTK,Oncogene_CancerMine
MDM4,Oncogene_CancerMine
MCL1,Oncogene_CancerMine
MAP3K3,Oncogene_CancerMine
MAP2K4,Oncogene_CancerMine
SMAD4,Oncogene_CancerMine
LOXL2,Oncogene_CancerMine
LEF1,Oncogene_CancerMine
KMO,Oncogene_CancerMine
JAK1,Oncogene_CancerMine
ITGA2,Oncogene_CancerMine
IRS4,Oncogene_CancerMine
ILK,Oncogene_CancerMine
IL17A,Oncogene_CancerMine
BIRC5,Oncogene_CancerMine
IGF1,Oncogene_CancerMine
ID1,Oncogene_CancerMine
TNC,Oncogene_CancerMine
HRG,Oncogene_CancerMine
HOXB13,Oncogene_CancerMine
HNRNPA1,Oncogene_CancerMine
HMMR,Oncogene_CancerMine
HMGB1,Oncogene_CancerMine
IQANK1,Oncogene_CancerMine
HLA-C,Oncogene_CancerMine
HK2,Oncogene_CancerMine
HIP1,Oncogene_CancerMine
HDAC3,Oncogene_CancerMine
HDAC2,Oncogene_CancerMine
GRN,Oncogene_CancerMine
GRM1,Oncogene_CancerMine
GRB2,Oncogene_CancerMine
GPER1,Oncogene_CancerMine
GLI3,Oncogene_CancerMine
GFRA1,Oncogene_CancerMine
GALNT6,Oncogene_CancerMine
ISG15,Oncogene_CancerMine
FYN,Oncogene_CancerMine
FRK,Oncogene_CancerMine
AKR1B10,Oncogene_CancerMine
FOXF1,Oncogene_CancerMine
FOXD1,Oncogene_CancerMine
VEGFD,Oncogene_CancerMine
FGFR4,Oncogene_CancerMine
FGF7,Oncogene_CancerMine
FABP5,Oncogene_CancerMine
FABP3,Oncogene_CancerMine
EYA2,Oncogene_CancerMine
ERG,Oncogene_CancerMine
EPHA2,Oncogene_CancerMine
EPHA1,Oncogene_CancerMine
ENTPD5,Oncogene_CancerMine
EMP2,Oncogene_CancerMine
MARK2,Oncogene_CancerMine
CT45A1,Oncogene_CancerMine
ELF5,Oncogene_CancerMine
EIF3E,Oncogene_CancerMine
EGR1,Oncogene_CancerMine
E2F6,Oncogene_CancerMine
TRIM59,Oncogene_CancerMine
PRRT2,Oncogene_CancerMine
RCC2,Oncogene_CancerMine
DTL,Oncogene_CancerMine
NAMPT,Oncogene_CancerMine
DNMT1,Oncogene_CancerMine
MAGI3,Oncogene_CancerMine
GLS2,Oncogene_CancerMine
TET1,Oncogene_CancerMine
DDHD2,Oncogene_CancerMine
KDM1A,Oncogene_CancerMine
HAUS3,Oncogene_CancerMine
DGCR8,Oncogene_CancerMine
DCLK1,Oncogene_CancerMine
CCN1,Oncogene_CancerMine
YTHDF3,Oncogene_CancerMine
PAQR4,Oncogene_CancerMine
TUG1,Oncogene_CancerMine
CYP26A1,Oncogene_CancerMine
CXCR4,Oncogene_CancerMine
UBE2T,Oncogene_CancerMine
CCN2,Oncogene_CancerMine
FOXO6,Oncogene_CancerMine
CST3,Oncogene_CancerMine
CST1,Oncogene_CancerMine
PTCD3,Oncogene_CancerMine
PHF20L1,Oncogene_CancerMine
CDK12,Oncogene_CancerMine
CERS6,Oncogene_CancerMine
GSDMB,Oncogene_CancerMine
MCTS1,Oncogene_CancerMine
DEPDC1,Oncogene_CancerMine
COPB2,Oncogene_CancerMine
COL10A1,Oncogene_CancerMine
COPS6,Oncogene_CancerMine
GTPBP4,Oncogene_CancerMine
CENPU,Oncogene_CancerMine
ZUP1,Oncogene_CancerMine
RNF126,Oncogene_CancerMine
ASF1B,Oncogene_CancerMine
RSPO3,Oncogene_CancerMine
KDM3A,Oncogene_CancerMine
PHF8,Oncogene_CancerMine
OIP5,Oncogene_CancerMine
SUB1,Oncogene_CancerMine
RDM1,Oncogene_CancerMine
TNK2,Oncogene_CancerMine
CHEK1,Oncogene_CancerMine
SETD2,Oncogene_CancerMine
ALG1,Oncogene_CancerMine
PBK,Oncogene_CancerMine
SEC61G,Oncogene_CancerMine
PRMT6,Oncogene_CancerMine
EPN3,Oncogene_CancerMine
CEACAM6,Oncogene_CancerMine
CDKN1C,Oncogene_CancerMine
CDK4,Oncogene_CancerMine
CDC25B,Oncogene_CancerMine
CDC25A,Oncogene_CancerMine
RRS1,Oncogene_CancerMine
ECD,Oncogene_CancerMine
KAT7,Oncogene_CancerMine
MLLT11,Oncogene_CancerMine
PSMD14,Oncogene_CancerMine
DLGAP5,Oncogene_CancerMine
KLF16,Oncogene_CancerMine
SCARB1,Oncogene_CancerMine
CHEK2,Oncogene_CancerMine
TRIM28,Oncogene_CancerMine
TRIM32,Oncogene_CancerMine
PARK7,Oncogene_CancerMine
PAK4,Oncogene_CancerMine
LIN28A,Oncogene_CancerMine
TP63,Oncogene_CancerMine
CBX8,Oncogene_CancerMine
PAK5,Oncogene_CancerMine
YTHDF1,Oncogene_CancerMine
CCND2,Oncogene_CancerMine
CCNB1,Oncogene_CancerMine
ARHGAP11A,Oncogene_CancerMine
SPRY4,Oncogene_CancerMine
CBX2,Oncogene_CancerMine
SMYD3,Oncogene_CancerMine
PIGT,Oncogene_CancerMine
TINCR,Oncogene_CancerMine
GAB2,Oncogene_CancerMine
BRD4,Oncogene_CancerMine
NEK8,Oncogene_CancerMine
ARHGEF5,Oncogene_CancerMine
MZF1,Oncogene_CancerMine
YES1,Oncogene_CancerMine
WNT10B,Oncogene_CancerMine
WIPF1,Oncogene_CancerMine
USP10,Oncogene_CancerMine
UHRF2,Oncogene_CancerMine
UBE3A,Oncogene_CancerMine
TRAF4,Oncogene_CancerMine
TPM4,Oncogene_CancerMine
TOP2A,Oncogene_CancerMine
FAS,Oncogene_CancerMine
TNF,Oncogene_CancerMine
TMPO,Oncogene_CancerMine
TLR4,Oncogene_CancerMine
TIMELESS,Oncogene_CancerMine
THBS2,Oncogene_CancerMine
TCF7L2,Oncogene_CancerMine
TARBP2,Oncogene_CancerMine
EPCAM,Oncogene_CancerMine
TACC3,Oncogene_CancerMine
STYX,Oncogene_CancerMine
AURKC,Oncogene_CancerMine
STK11,Oncogene_CancerMine
SPP1,Oncogene_CancerMine
SP1,Oncogene_CancerMine
SOX9,Oncogene_CancerMine
SOX12,Oncogene_CancerMine
BST2,Oncogene_CancerMine
SOD2,Oncogene_CancerMine
SMARCA4,Oncogene_CancerMine
SLC4A7,Oncogene_CancerMine
PRMT5,Oncogene_CancerMine
SIX1,Oncogene_CancerMine
SGK1,Oncogene_CancerMine
SF3B1,Oncogene_CancerMine
SEMA3C,Oncogene_CancerMine
BMP4,Oncogene_CancerMine
CXCL12,Oncogene_CancerMine
CCL2,Oncogene_CancerMine
S100A4,Oncogene_CancerMine
RRAS,Oncogene_CancerMine
RPN2,Oncogene_CancerMine
RHEB,Oncogene_CancerMine
MEN1,Oncogene_CancerMine
THRA,Oncogene_CancerMine
STAT1,Oncogene_CancerMine
MAML2,Oncogene_CancerMine
BCL3,Oncogene_CancerMine
B2M,Oncogene_CancerMine
SERPINB5,Oncogene_CancerMine
NUCB2,Oncogene_CancerMine
MCF2,Oncogene_CancerMine
MAP2K6,Oncogene_CancerMine
ARHGEF2,Oncogene_CancerMine
IDO1,Oncogene_CancerMine
BIRC2,Oncogene_CancerMine
IFNA1,Oncogene_CancerMine
HSF1,Oncogene_CancerMine
GDF15,Oncogene_CancerMine
RICTOR,Oncogene_CancerMine
DEPDC1B,Oncogene_CancerMine
CSF2,Oncogene_CancerMine
CHPF,Oncogene_CancerMine
PPP1R13L,Oncogene_CancerMine
IL17RB,Oncogene_CancerMine
CAV1,Oncogene_CancerMine
OR2T6,Oncogene_CancerMine
EGLN2,Oncogene_CancerMine
ACTB,Oncogene_CancerMine
WNT7B,Oncogene_CancerMine
USP28,Oncogene_CancerMine
TRAF6,Oncogene_CancerMine
SQSTM1,Oncogene_CancerMine
SPARC,Oncogene_CancerMine
SEMA3A,Oncogene_CancerMine
RNF2,Oncogene_CancerMine
MYH9,Oncogene_CancerMine
PRSS3,Oncogene_CancerMine
PDCD4,Oncogene_CancerMine
HERC4,Oncogene_CancerMine
ZBTB16,Oncogene_CancerMine
TIMP3,Oncogene_CancerMine
RECK,Oncogene_CancerMine
SPRY1,Oncogene_CancerMine
FN1,Oncogene_CancerMine
STK38,Oncogene_CancerMine
SOX11,Oncogene_CancerMine
SATB1,Oncogene_CancerMine
ROS1,Oncogene_CancerMine
AR,Oncogene_CancerMine
RFX3,Oncogene_CancerMine
RFC3,Oncogene_CancerMine
REN,Oncogene_CancerMine
BCL2L2,Oncogene_CancerMine
RBP1,Oncogene_CancerMine
RBM7,Oncogene_CancerMine
RBBP8,Oncogene_CancerMine
KDM5A,Oncogene_CancerMine
RB1,Oncogene_CancerMine
RASSF1,Oncogene_CancerMine
RASA1,Oncogene_CancerMine
RARS1,Oncogene_CancerMine
PLAAT4,Oncogene_CancerMine
RARB,Oncogene_CancerMine
RARA,Oncogene_CancerMine
RAP1A,Oncogene_CancerMine
RAN,Oncogene_CancerMine
RAI2,Oncogene_CancerMine
BCHE,Oncogene_CancerMine
RACGAP1,Oncogene_CancerMine
RAC2,Oncogene_CancerMine
RAB7A,Oncogene_CancerMine
RAB5A,Oncogene_CancerMine
BCAS2,Oncogene_CancerMine
BCAS1,Oncogene_CancerMine
BCAR3,Oncogene_CancerMine
BCAR1,Oncogene_CancerMine
PTPRZ1,Oncogene_CancerMine
PTPRD,Oncogene_CancerMine
PTPN6,Oncogene_CancerMine
PTPN3,Oncogene_CancerMine
PTPN2,Oncogene_CancerMine
PTPN13,Oncogene_CancerMine
PTP4A3,Oncogene_CancerMine
PTN,Oncogene_CancerMine
PTHLH,Oncogene_CancerMine
PTH,Oncogene_CancerMine
BATF,Oncogene_CancerMine
PSMD5,Oncogene_CancerMine
BARX2,Oncogene_CancerMine
PSMD10,Oncogene_CancerMine
BARD1,Oncogene_CancerMine
BAP1,Oncogene_CancerMine
PRSS1,Oncogene_CancerMine
PRPS1,Oncogene_CancerMine
PROX1,Oncogene_CancerMine
PRKDC,Oncogene_CancerMine
PRKCI,Oncogene_CancerMine
PRKCB,Oncogene_CancerMine
PICK1,Oncogene_CancerMine
PRKCA,Oncogene_CancerMine
PRKACA,Oncogene_CancerMine
PPP1R1B,Oncogene_CancerMine
PPIF,Oncogene_CancerMine
B4GALT1,Oncogene_CancerMine
POU1F1,Oncogene_CancerMine
PHOX2B,Oncogene_CancerMine
PMAIP1,Oncogene_CancerMine
PLXNB1,Oncogene_CancerMine
PLCD3,Oncogene_CancerMine
PKIB,Oncogene_CancerMine
PITPNM1,Oncogene_CancerMine
PIM2,Oncogene_CancerMine
PIM1,Oncogene_CancerMine
INPP5J,Oncogene_CancerMine
SERPINE2,Oncogene_CancerMine
PGLS,Oncogene_CancerMine
MRPS30,Oncogene_CancerMine
PDCD10,Oncogene_CancerMine
PDCD1,Oncogene_CancerMine
ATP7B,Oncogene_CancerMine
ATP7A,Oncogene_CancerMine
PBX1,Oncogene_CancerMine
PAX6,Oncogene_CancerMine
PAX2,Oncogene_CancerMine
PRKN,Oncogene_CancerMine
SERPINE1,Oncogene_CancerMine
PAFAH1B3,Oncogene_CancerMine
P4HB,Oncogene_CancerMine
P2RX7,Oncogene_CancerMine
OXTR,Oncogene_CancerMine
OSM,Oncogene_CancerMine
OLR1,Oncogene_CancerMine
TENM1,Oncogene_CancerMine
NUP98,Oncogene_CancerMine
NUP153,Oncogene_CancerMine
NUMB,Oncogene_CancerMine
NUDT1,Oncogene_CancerMine
NTRK2,Oncogene_CancerMine
